Depth CCSF (m),filename,position (mm),sample surface,validity,E-gain,E-offset,F-slope,F-offset,cps,MSE,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Mn,Fe,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Zr,Ru,Rh,Pd,Cd,Sb,Ba,Ce,Pr,Nd,Tb,Tm,Lu,Hf,Os,Ir,Pt,Hg,Tl,Pb,Th,Pa,U,Cr kb,Ca ka-a sum,Ca ka-b sum,S2,W la,W la scat,W lb1,W lb1 scat,W lb2,W lb2 scat,Cr inc,Cr coh,Dt,Unnamed: 68,SectionFile,SectionLabel,File,Core,Section Top Depth CCSF (m),Section Bottom Depth CCSF (m)
21.84,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000644.spe,1293.6,6.04,1,0.021481999999999998,-0.002728,0.009691,0.085882,37097,5.63,0,265,2845,0,42,6391,2502,16478,382474,0,11750,218,0,19985,187,163,43,83,68,189,1708,91,257,0,0,81,74,0,815,0,236,414,0,153,0,0,19,0,0,172,0,0,81,0,100,6259,456,68,5126,100,0,13,91,0,8,11914,34329,0.094,,U1474D_4H1-L000644.spe,U1474D_4H1,L000644.spe,U1474D_4,20.548000000000002,22.048000000000002
21.86,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000654.spe,1313.6,6.03,1,0.021481999999999998,-0.002728,0.009691,0.085882,37400,5.72,0,345,2866,0,39,6265,2475,16095,395140,0,11511,148,0,18122,200,139,42,127,49,100,1657,147,195,0,0,57,108,0,880,0,210,429,0,39,5,10,0,0,28,167,0,0,14,146,58,6051,494,47,4674,86,34,92,24,0,0,11835,33814,0.094,,U1474D_4H1-L000654.spe,U1474D_4H1,L000654.spe,U1474D_4,20.548000000000002,22.048000000000002
21.88,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000664.spe,1333.6,6.03,1,0.021481999999999998,-0.002728,0.009691,0.085882,38142,5.37,0,363,2948,0,99,6191,2636,16086,404634,0,11037,129,0,17548,197,181,45,134,38,179,1791,87,291,0,0,40,110,0,688,0,291,329,0,43,0,38,5,15,0,114,0,0,0,22,107,5815,465,90,4289,94,0,0,157,0,132,12105,33887,0.094,,U1474D_4H1-L000664.spe,U1474D_4H1,L000664.spe,U1474D_4,20.548000000000002,22.048000000000002
21.9,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000674.spe,1353.6,6.02,1,0.021481999999999998,-0.002728,0.009691,0.085882,40239,6.17,0,337,3000,0,100,6274,2448,15781,412792,0,10947,122,0,17931,216,141,36,88,93,237,1801,141,243,0,0,88,143,0,678,0,222,254,54,23,13,0,47,0,0,87,0,0,31,0,0,6181,488,85,5099,91,0,0,134,0,74,12385,33314,0.092,,U1474D_4H1-L000674.spe,U1474D_4H1,L000674.spe,U1474D_4,20.548000000000002,22.048000000000002
21.92,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000684.spe,1373.6,5.99,1,0.021481999999999998,-0.002728,0.009691,0.085882,38974,5.65,14,346,2884,0,98,6110,2525,15510,426215,0,10523,271,0,17080,200,101,17,101,68,180,1890,172,238,0,0,80,112,0,699,0,116,295,11,55,0,7,36,0,0,140,0,25,90,28,95,5652,565,133,4473,55,44,0,80,0,0,11773,32827,0.092,,U1474D_4H1-L000684.spe,U1474D_4H1,L000684.spe,U1474D_4,20.548000000000002,22.048000000000002
21.94,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000694.spe,1393.6,5.99,1,0.021481999999999998,-0.002728,0.009691,0.085882,39615,5.43,0,300,2734,0,62,6316,2553,14869,432088,0,9880,258,0,15788,204,106,13,72,72,153,1884,125,224,12,18,126,134,0,674,0,227,555,0,68,67,19,27,0,0,119,0,0,22,21,0,5684,601,59,4230,44,45,120,187,0,0,10555,32169,0.08900000000000001,,U1474D_4H1-L000694.spe,U1474D_4H1,L000694.spe,U1474D_4,20.548000000000002,22.048000000000002
21.96,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000704.spe,1413.6,6.03,1,0.021481999999999998,-0.002728,0.009691,0.085882,40007,5.96,0,281,2515,0,43,6621,2616,14669,442095,0,9346,273,0,15150,152,188,17,142,58,98,1744,106,238,0,0,85,111,0,831,0,149,463,0,56,0,56,44,50,0,178,0,4,118,70,84,5912,566,167,4325,146,29,0,285,0,117,11553,31855,0.09,,U1474D_4H1-L000704.spe,U1474D_4H1,L000704.spe,U1474D_4,20.548000000000002,22.048000000000002
21.98,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000714.spe,1433.6,6.03,1,0.021481999999999998,-0.002728,0.009691,0.085882,42127,5.91,0,313,2546,0,68,6487,2504,14689,466323,0,9100,93,0,14690,200,119,33,101,19,141,1932,104,222,0,0,117,120,0,775,0,164,349,6,45,0,36,25,55,0,187,23,0,75,43,113,5476,636,184,4299,108,0,142,74,0,0,11338,31017,0.09,,U1474D_4H1-L000714.spe,U1474D_4H1,L000714.spe,U1474D_4,20.548000000000002,22.048000000000002
22.0,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000724.spe,1453.6,6.01,1,0.021481999999999998,-0.002728,0.009691,0.085882,42568,6.03,6,270,2442,0,133,6631,2441,13870,495619,0,8693,105,0,13472,158,144,53,76,57,135,1847,108,264,0,0,191,153,0,594,0,203,320,0,52,45,45,0,0,10,87,0,19,38,0,142,5702,730,154,4708,110,0,0,105,0,116,10827,31395,0.08900000000000001,,U1474D_4H1-L000724.spe,U1474D_4H1,L000724.spe,U1474D_4,20.548000000000002,22.048000000000002
22.02,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000734.spe,1473.6,6.05,1,0.021481999999999998,-0.002728,0.009691,0.085882,42035,6.21,0,285,2436,0,54,6511,2477,13673,493296,0,8159,149,0,12675,151,139,50,102,65,149,1909,120,207,0,35,65,145,0,772,0,171,453,58,58,36,41,34,0,0,79,0,0,83,6,0,5447,669,158,4084,109,35,58,98,0,15,10540,31472,0.08800000000000001,,U1474D_4H1-L000734.spe,U1474D_4H1,L000734.spe,U1474D_4,20.548000000000002,22.048000000000002
