Solution Type,Solution Label,Site,Time,Al 308.215,Ba 233.527,Ca 422.673,Cr 267.716,Cu 324.754,Fe 259.940,K 766.491,Mg 285.213,Mn 257.610,Na 589.592,Ni 231.604,P 178.222,P 213.618,Sc 361.383,Si 251.611,Si 288.158,Sr 407.771,Ti 334.941,V 292.401,Y 371.029,Zn 206.200,Zr 343.823,Dilution Factor,Depth CCSF (m)
Drift Monitor,D,,15:28:41,94805.1,8412.29,1.12E+07,1906.86,579.619,144993,365741,152042,21712,1.82E+06,99.6861,49.3351,213.869,1358.85,215814,372541,1.43E+06,300069,956.987,1022.94,167.364,6486.96,4000,
Sample,1474 10H2,U1474,15:30:32,66839.1,5124.44,8.54E+06,1020.58,548.79,104234,181119,105416,13633.4,1.29E+06,66.4989,39.8051,146.576,1015.46,134257,231307,1.02E+06,177607,702.712,708.401,98.4098,3405.41,6974,89.95
Sample,1474 12H4,U1474,15:32:22,105293,9142.43,1.16E+07,1478.09,665.93,179450,320281,166768,25122,2.07E+06,128.952,61.3912,231.269,1548.67,196656,339667,1.57E+06,275894,1096.1,1074.76,149.312,4116.38,4360.46,114.255
Sample,1474 13H4,U1474,15:34:13,121200,9147.75,8.88E+06,1707.18,651.912,199094,473408,178157,25913.7,1.91E+06,126.915,52.0774,192.838,1763.53,219278,380135,1.22E+06,310853,1159.96,1198.26,154.549,4718.14,4443.12,124.37
Sample,1474 14H4,U1474,15:36:03,96144.1,9258.74,1.11E+07,1674.84,651.335,142863,388640,149453,17608.9,1.74E+06,97.3908,62.7125,207.854,1413.89,230673,398682,1.29E+06,291305,981.193,1258.24,126.753,8341.4,4628.15,135.234
Sample,1474 15H2,U1474,15:37:54,114349,7686.16,1.11E+07,1702.58,747.996,176425,440889,172838,22317.6,1.70E+06,121.862,60.2674,201.091,1716.53,202554,349848,1.51E+06,294248,1181.34,1118.98,164.153,4604.66,4500.39,141.095
Drift Monitor,D,,15:39:45,94665.9,8388.94,1.12E+07,1897.79,607.102,143634,364586,151674,21681.6,1.81E+06,112.438,61.865,228.532,1357.27,214929,372233,1.43E+06,300054,938.633,997.723,172.125,6430.7,4000,
Sample,1474 16H6,U1474,15:41:35,123720,8906.93,1.01E+07,1686.44,744.921,185427,482818,179532,23889.3,2.00E+06,117.995,48.8267,213.305,1805.96,226005,390775,1.30E+06,315884,1281.67,1174.61,253.664,4729.81,4326.36,156.46
Sample,1474 17H2,U1474,15:43:25,102157,8516.33,1.25E+07,1600.63,677.909,150785,359672,151068,24012.4,1.86E+06,94.0305,54.206,234.818,1496.13,218886,378280,1.56E+06,290354,1010.96,1126.12,756.887,6538.13,4249.05,159.46
Sample,1474 18H4,U1474,15:45:15,87869.4,7394.61,1.24E+07,1480.98,627.263,127478,312690,124242,19913.5,1.49E+06,88.4243,54.5167,205.078,1328.67,199211,344386,1.55E+06,261180,865.457,1064.17,158.167,5711.35,4523.65,174.3
Sample,1474 20H2,U1474,15:47:05,95746.9,9024.67,1.30E+07,1388.56,666.616,134078,370267,127837,25338.2,1.49E+06,92.2585,91.7763,421.135,1413.18,216654,373488,1.65E+06,283603,929.496,1261.5,144.638,6090.56,4267.61,193.015
Blank,B,,15:48:55,428.953,83.6134,21414.2,161.972,1015.77,533.978,1329.02,1678.33,933.789,974476,36.3248,43.7556,61.7598,147.65,509.12,1009.73,1535.97,807.334,140.174,39.8823,41.3061,193.946,4000,
Drift Monitor,D,,15:50:46,95884.1,8505.72,1.14E+07,1933.99,607.572,145982,369498,154158,22012.3,1.84E+06,108.986,58.5805,230.493,1383.43,217941,377624,1.45E+06,304461,939.71,1042.86,170.986,6520.08,4000,
Sample,1474 20H4,U1474,15:52:36,98036.4,7399.14,1.28E+07,1711.97,632.797,150590,316075,158675,20078.3,1.54E+06,104.296,55.0748,202.66,1534.21,198267,341073,1.66E+06,270247,920.766,1095.37,151.358,4897.32,4501.79,196.025
Sample,1474 20H5,U1474,15:54:27,78024.8,7872.85,1.36E+07,1243,888.946,104548,292237,105138,25184.2,1.28E+06,99.5078,82.0813,358.722,1186.83,185804,320916,1.65E+06,238388,903.122,1038.26,345.939,6630.22,4492.45,197.565
Sample,1474 21H2,U1474,15:56:18,110030,8354.06,1.25E+07,1751.36,700.928,172616,411462,163050,24005.6,1.77E+06,121.7,60.5706,247.274,1669.56,202470,349683,1.54E+06,290341,1149.68,1075.71,598.272,4295.26,4377.09,205.957
Sample,1474 22H2,U1474,15:58:09,108814,9312.97,1.05E+07,1552.42,636.352,152082,395388,148218,21483.9,1.79E+06,80.1199,50.8129,235.402,1539.16,224943,388187,1.35E+06,305074,1050.17,1103.13,165.785,5401.54,4297.61,216.915
Sample,1474 24H4,U1474,16:00:00,91524.4,8331.51,1.29E+07,1415.83,660.86,133482,291466,131027,34029.1,1.44E+06,94.619,56.8652,270.81,1416.79,173945,300019,1.71E+06,248824,862.869,969.254,157.424,3898.1,4378.82,239.154
Drift Monitor,D,,16:01:51,94008.3,8327.22,1.11E+07,1916.22,576.096,142569,362025,151048,21547,1.80E+06,106.083,50.5314,235.643,1353.19,213824,369204,1.42E+06,298346,966.407,984.151,177.148,6450.88,4000,
Sample,1474 25H2,U1474,16:03:41,108095,9698.96,1.07E+07,1633.72,649.756,162046,398370,160995,22678.2,1.77E+06,116.203,45.8976,217.245,1615.83,212479,367004,1.42E+06,296142,1300.28,1044.28,165.212,4967.85,4138.15,244.048
Sample,1474 25H4,U1474,16:05:31,101041,9849.6,1.31E+07,1524.5,635.655,149602,339723,144082,30324.9,1.52E+06,92.4221,68.0074,279.713,1562.36,204431,352746,1.76E+06,282511,973.671,1143.01,168.92,4814.19,4421.5,247.04
Standard,MAG-1,STD,16:07:23,156560,9019.87,768486,1394.58,600.332,227821,907216,279230,39114.8,3.85E+06,93.5153,63.5066,303.047,2134.57,244732,424087,233950,307026,1594.26,1305.32,71.4046,3650.6,4629.160493,
Standard,JA-2,STD,16:09:15,128441,5046.9,2.76E+06,4632.94,647.601,173536,403181,569894,37338.2,2.65E+06,207.144,53.261,237.933,1867.84,231324,400990,336017,241659,1321.09,705.727,130.405,2807.29,4286.948541,
Standard,GSP-2,STD,16:11:06,127225,22338.3,1.04E+06,363.163,842.446,142932,1.21E+06,76400.2,17591.1,2.40E+06,61.1038,87.8294,474.922,775.919,285406,496076,348797,250180,632.752,1126.93,232.182,14390,4576.344495,
Standard,SCO-1,STD,16:12:57,119383,9872.33,1.27E+06,937.652,645.54,154348,642086,224727,20830.3,808051,74.8891,77.977,341.64,1357.57,265965,461728,251138,228054,1477.21,1092.09,188.459,4368.45,4662.603562,
Standard,JS1-1,STD,16:14:48,167324,5783.73,764754,894.674,821.692,216029,728964,214583,27374,2.12E+06,102.414,71.8516,333.731,2019.71,284437,494394,305746,302516,1593.65,1400.57,213.576,4826.06,4361.438566,
Standard,W2,STD,16:16:39,149604,3207.8,5.35E+06,1315.91,1656.57,360197,176489,599356,69848.7,2.23E+06,129.094,55.5691,231.525,4289.89,257267,445388,307984,463617,2910.25,1043.53,168.616,2737.39,3920.401999,
Drift Monitor,D,,16:18:30,94799.7,8398.68,1.12E+07,1901.91,625.283,144717,364444,151965,21748.4,1.81E+06,102.975,49.9709,227.39,1332.29,215316,372559,1.43E+06,300935,961.176,1003.73,157.315,6470.12,4000,
