Exp,Site,Hole,Core,Type,Sect,A/W,Offset (cm),Depth CSF-A (m),Depth CCSF-361-U1474-ABDEF-20160220 (m),Container number,Weight (mg),%CaCO3,%Carbon,Name ,Code 
361,U1474,A,26,H,2,W,110,234,253.526,17379,8.67,23.67,2.84,,
361,U1474,A,26,H,4,W,110,236.99,256.516,17380,7.58,36.29,4.35,,
361,U1474,A,26,H,6,W,48,239.36,258.886,17381,6.78,39.81,4.78,,
361,U1474,A,27,H,1,W,93,240.83,261.635,17382,5.5,4.83,4.9,,
361,U1474,A,27,H,3,W,93,243.59,264.395,17383,5.63,40.94,4.91,,
361,U1474,A,29,F,2,W,110,252.21,276.178,17385,7.05,46.9,5.63,,
361,U1474,A,19,H,4,W,100,172.42,184.219,17361,7.69,41.23,4.95,,
361,U1474,A,19,H,6,W,101,175.45,187.249,17362,9.44,48.92,5.87,,
361,U1474,A,20,H,2,W,96,178.86,193.015,17363,8.27,42.43,5.09,,
361,U1474,A,20,H,4,W,97,181.87,196.025,17364,6.29,43.34,5.2,,
361,U1474,A,20,H,5,W,102,183.41,197.565,17365,6.1,47.87,5.74,,
361,U1474,A,21,H,2,W,106,188.46,205.957,17366,9.06,40,4.8,,
361,U1474,A,21,H,4,W,106,191.45,208.947,17367,8.48,44.77,5.37,,
361,U1474,A,21,H,6,W,105,194.43,211.927,17368,5.54,33.97,4.08,,
361,U1474,A,22,H,2,W,102,197.92,216.915,17369,8.46,34.56,4.15,,
361,U1474,A,24,H,2,W,110,217,236.184,17370,9.09,45.07,5.41,,
361,U1474,A,23,H,4,W,106,210.46,227.425,17375,5.38,55.72,6.69,,
361,U1474,A,23,H,6,W,106,213.45,230.415,17376,5.47,53.72,6.45,,
361,U1474,A,25,H,4,W,102,227.52,247.058,17377,6.48,43.56,5.23,,
