Depth CCSF (m),Al2O3,SiO2,K2O,TiO2,Fe2O3,CaO,Section
0.6,13.574891770902171,47.59274406974762,1.6825022651185533,0.9247808194742572,7.934040582981528,23.500506112200522,U1474F_1H1
0.62,13.218007651983744,46.88205834593414,1.6541045374932803,0.8934044936326143,8.364985111399829,24.19690547998105,U1474F_1H1
0.64,13.656919611820774,47.63322792096809,1.6745007959147593,0.9273136973376227,7.029754622621687,24.28774897176171,U1474F_1H1
0.66,13.574046589970159,47.37378423640971,1.654046964912698,0.9206838097250132,6.9267564921071525,24.76014752729992,U1474F_1H1
0.68,14.261441001954926,47.72604447685755,1.7437498336711705,0.9475071207074295,6.775580869858185,23.755142317375412,U1474F_1H1
0.7,14.13338827486383,47.49001662917632,1.6829705920758107,0.923043342703282,6.321635204312675,24.658411577292753,U1474F_1H1
0.72,14.368885002230593,46.94351325050933,1.8185279525477698,0.9592402477552708,6.961653807709647,24.15764535967204,U1474F_1H1
0.74,13.806537414999562,48.51219604547458,1.7407349352113544,0.9309386788417573,6.622016366038176,23.597042179859226,U1474F_1H1
0.76,13.925757274064578,48.300901358620266,1.6829245588616455,0.9258683360291945,6.373978198994345,24.000035893854623,U1474F_1H1
0.78,14.563748750769179,47.69403675030882,1.8233132942974877,0.9323052010756409,6.90203246920554,23.294029154767983,U1474F_1H1
0.8,14.369196184607972,48.04302680960389,1.795177729391299,0.940895442369156,6.830832311471656,23.230337142980687,U1474F_1H1
0.82,13.985405230846903,48.18820368189941,1.8581244942585318,0.9387769578959716,7.338193490521487,22.900761765002358,U1474F_1H1
0.84,14.375808950074944,48.12393074266226,1.837100019722261,0.9226308126053031,7.2654219963734885,22.684573098986395,U1474F_1H1
0.86,14.409641144018773,47.490065244471374,1.7457991369560917,0.9150370580298769,6.57987073291581,24.069052304032727,U1474F_1H1
0.88,13.70885917636803,47.454233207708214,1.6911670669116123,0.9220747550276162,6.453878578850046,24.979252835559148,U1474F_1H1
