Exp,Site,Hole,Type,Section,SectionLabel,Top Offset (cm),Depth (m CCSF),MSE,Al2O3,SiO2,K2O,TiO2,Fe2O3,CaO
361,U1474,F,H,1,U1474F_1H1,66.536,0.67,10.12,13.282634726942433,48.12101090582893,1.703274593557142,0.960912058992044,6.666952871648469,24.474680463455606
361,U1474,F,H,1,U1474F_1H1,68.536,0.69,10.64,13.253122393415035,47.6686659353038,1.6459597469043656,0.9384554630540618,6.271267027893901,25.431995053853477
361,U1474,F,H,1,U1474F_1H1,70.536,0.71,9.98,13.447872194076508,47.179036251375024,1.7754532907427987,0.9778668345338217,6.873723056038177,24.955513993658307
361,U1474,F,H,1,U1474F_1H1,72.536,0.73,10.23,12.962870103069323,48.85763285515183,1.6881254526602558,0.9409873772258233,6.517187677347066,24.24266215497033
361,U1474,F,H,1,U1474F_1H1,74.536,0.75,10.29,13.060122616901308,48.58671103121657,1.6441915841515555,0.9377334974225474,6.29031370981627,24.69039318091639
361,U1474,F,H,1,U1474F_1H1,76.536,0.77,10.5,13.604184086031287,48.13200844818823,1.7734962793262894,0.9450754146558622,6.77925815760107,23.975443234621896
361,U1474,F,H,1,U1474F_1H1,78.536,0.79,10.15,13.380632326660988,48.4705272669382,1.7516396801148604,0.9548783525358652,6.716765071368695,23.93502292280603
361,U1474,F,H,1,U1474F_1H1,80.536,0.81,10.03,13.082757547635318,48.660919833558175,1.8029938043029479,0.9503854283894779,7.159214975718588,23.553194030820137
361,U1474,F,H,1,U1474F_1H1,82.536,0.83,10.54,13.447749666213854,48.69490764078886,1.7801074847452656,0.9307033874953154,7.079584890556711,23.276412550624627
361,U1474,F,H,1,U1474F_1H1,84.536,0.85,9.74,13.63031894878473,47.712507432026285,1.6955093777538874,0.9278917175826719,6.484689444149928,24.758548700127132
361,U1474,F,H,1,U1474F_1H1,86.536,0.87,10.11,12.909429272628529,47.533677793270805,1.6547640974969422,0.9356752322110403,6.407374392219941,25.76854483259737
361,U1474,F,H,1,U1474F_1H1,88.536,0.89,10.64,13.04540674149093,47.18182097024875,1.5347657669326242,0.9022018172457313,6.087386502709427,26.457883821797182
361,U1474,F,H,1,U1474F_1H1,90.536,0.91,11.07,12.907179645266108,45.92645830749462,1.4124416181573387,0.8685913939780192,5.972071476204062,28.122723179324492
361,U1474,F,H,1,U1474F_1H1,92.536,0.93,10.64,12.648355321435687,46.69967629564699,1.3846388357412656,0.858188965765193,5.667097350688453,27.95150885114705
361,U1474,F,H,1,U1474F_1H1,94.536,0.95,10.81,12.61792786247371,46.28159128334341,1.375768809923044,0.8533804052995192,5.5521004913596625,28.528696768025284
361,U1474,F,H,1,U1474F_1H1,96.536,0.97,10.78,12.958640873695686,45.888010564214106,1.3562249776971904,0.8456878526179399,5.488231752459827,28.672669599739894
361,U1474,F,H,1,U1474F_1H1,98.536,0.99,10.47,12.933867119916236,45.21936798267737,1.4032050652239194,0.8633420569731501,5.664185795878344,29.125497599755633
361,U1474,F,H,1,U1474F_1H1,100.536,1.01,10.95,12.768320309166413,46.093434939565675,1.3737375369693308,0.848172264845898,5.443504873662876,28.682295696214442
361,U1474,F,H,1,U1474F_1H1,102.536,1.03,10.87,12.35896526537156,45.831927752273685,1.3433204453596992,0.8481984006616156,5.491219546531544,29.335834210226526
361,U1474,F,H,1,U1474F_1H1,104.536,1.05,10.49,12.697254100192648,45.76551750334075,1.3527008485892182,0.8485787716074538,5.638738111981488,28.906676284713082
361,U1474,F,H,1,U1474F_1H1,106.536,1.07,10.56,12.633087032443603,45.47528371532464,1.3198711649894082,0.8484224830504972,5.337644992787252,29.595156231829225
361,U1474,F,H,1,U1474F_1H1,108.536,1.09,10.53,12.233601543376306,44.029493025017885,1.369478055966034,0.8895226279276806,5.9899785256396765,30.697391842497055
361,U1474,F,H,1,U1474F_1H1,110.536,1.11,10.61,12.494446369712028,45.17418122953824,1.2743960584154672,0.8431330833375131,5.646234894950477,29.77707398447091
361,U1474,F,H,1,U1474F_1H1,112.536,1.13,10.93,13.003093301220382,44.39707998694343,1.2451277951908246,0.8225806824438213,5.53921842504401,30.202365429582187
361,U1474,F,H,1,U1474F_1H1,114.536,1.15,10.92,12.958422681610097,44.29463486891338,1.2341096754275627,0.836494937326033,5.374659501888589,30.511143955258976
361,U1474,F,H,1,U1474F_1H1,116.536,1.17,10.84,12.545976342510482,44.2577639298107,1.2172512841832561,0.8299896186282331,5.474958112808867,30.883526332483093
361,U1474,F,H,1,U1474F_1H1,118.536,1.19,10.33,12.427950443836304,45.113418246812095,1.252878245879766,0.8260031637213789,5.70752772123147,29.88168779894362
361,U1474,F,H,1,U1474F_1H1,120.536,1.21,10.52,12.51444057204976,44.40972339730677,1.2397456176861763,0.8352552638916849,5.701531964585285,30.50876880490497
361,U1474,F,H,1,U1474F_1H1,122.536,1.23,10.9,12.842785831965799,44.73514055501992,1.288716378316458,0.8411771183904223,5.693250060137171,29.80839567659487
361,U1474,F,H,1,U1474F_1H1,124.536,1.25,10.74,12.71983086269582,45.696335935341835,1.287031611973834,0.8359028893414212,5.632158655835051,29.03820566523668
361,U1474,F,H,1,U1474F_1H1,126.536,1.27,10.53,13.261299596778636,46.18443058315926,1.3543127855141512,0.8380400142320059,5.975930102374164,27.595452538366413
361,U1474,F,H,1,U1474F_1H1,128.536,1.29,10.74,12.852586752255377,45.83765536840163,1.3446730533177678,0.8347897676787592,6.058247549023503,28.281513129747598
361,U1474,F,H,1,U1474F_1H1,130.536,1.31,10.49,13.203741749786493,45.698684575869855,1.3094478758095567,0.8363812746145077,5.798932833231582,28.362277311112642
361,U1474,F,H,1,U1474F_1H1,132.536,1.33,10.1,12.730677008487309,45.95999845806114,1.376254212427257,0.851097029212653,6.229482882068739,28.061956030167533
361,U1474,F,H,1,U1474F_1H1,134.536,1.35,10.35,12.931367532988531,45.20984440094577,1.3537034036710531,0.8556008973720475,6.093254153023316,28.765695232423923
361,U1474,F,H,1,U1474F_1H1,136.536,1.37,10.54,13.33273961711615,45.34706521507262,1.351183473585246,0.8544220969791247,6.100577423768033,28.223477793903463
361,U1474,F,H,1,U1474F_1H1,138.536,1.39,10.09,13.26000283510692,45.06611487005599,1.3898996582079994,0.8564963235715803,6.379601381216119,28.257350552266022
361,U1474,F,H,1,U1474F_1H1,140.536,1.41,10.4,13.119828883223327,45.835968772462174,1.3882240510824595,0.8789487347695393,6.058624084700519,27.92787109418663
361,U1474,F,H,1,U1474F_1H1,142.536,1.43,9.8,12.646534702198613,45.360888555706154,1.3230461033609446,0.8678719963347346,6.079330019094617,28.931794243729566
361,U1474,F,H,1,U1474F_1H1,144.536,1.45,9.54,13.351292658338073,46.16552797017491,1.4166217598783781,0.8701876190038431,6.227303207218307,27.178532405811122
361,U1474,F,H,1,U1474F_1H1,146.536,1.47,9.23,12.900405152921198,47.35385033818699,1.6008971176018725,0.9149438406684263,7.186023875955129,25.253345295091016
361,U1474,F,H,2,U1474F_1H2,0.258,1.5,10.29,13.190933145763607,49.83290210655469,1.6188341438728966,0.8302430840566323,6.722772991250502,23.013780148926326
361,U1474,F,H,2,U1474F_1H2,2.258,1.52,9.99,12.735248525060962,47.28245264382217,1.677545736737784,0.9022095245061487,7.229558708592547,25.38245048170503
361,U1474,F,H,2,U1474F_1H2,4.258,1.54,9.75,12.673281467528545,46.73158646598232,1.6370245325746484,0.8885481221682044,7.07519827057979,26.203826761591127
