Depth (m),Al,Si,K,Ca,Ti,Fe
114.62,15.081195043838566,44.617970271585214,2.1087110157442206,31.64672395837526,0.7660577341029875,5.779341976353756
114.64,14.749818367308354,44.7100505433226,2.068588061526431,32.04119050123799,0.7728525842136222,5.657499942390999
114.66,14.973310985161017,44.60859388758143,2.0492565186088996,31.989111116213675,0.7654165926062929,5.614310899828691
114.68,14.847767349210143,44.261075772033934,2.071568660158257,32.00218241814984,0.7637362089046926,6.05366959154312
114.7,14.790849807206097,44.440508678178055,1.9903594763632946,32.36590971053672,0.7529930881662562,5.659379239549582
114.72,15.105911819242424,44.184962168828555,2.0653757402185753,32.15773697210502,0.7529308323129027,5.733082467292503
114.74,14.848614450576278,44.34403713466097,1.9546840490522837,32.50031778831729,0.7396013105518323,5.6127452668413325
114.76,14.615900487133842,44.52772710453592,2.0655890284769813,32.18984811890218,0.7608741749442884,5.840061086006789
114.78,14.842400711681695,44.491357154982985,2.0827943837903664,32.06429410145521,0.7530000049527382,5.766153643137003
114.8,15.120107341268508,44.27004257882488,1.9920982792108484,32.35064967468664,0.749282826989099,5.51781929902003
114.82,14.683214270138325,44.31041045204571,2.0617327282959073,32.430653057872995,0.754074271274133,5.75991522037294
114.84,14.667123021749642,44.24346655721551,2.018958313677379,32.73890542644287,0.742563660356857,5.58898302055775
114.86,14.799950003511132,44.46547871142152,2.024081723518004,32.29044198248939,0.7564273386005222,5.663620240459437
114.88,14.557105855222988,44.71983257538797,2.0445255384217274,31.987674910786684,0.7566973550926664,5.9341637650879635
114.9,15.333123495858938,45.12199999259322,2.254566001914101,30.64808976594969,0.7835337220290244,5.858687021655048
114.92,15.092379390966743,45.085752827476405,2.3936537626088374,30.537672167476636,0.7947152898249327,6.095826561646437
114.94,15.441949481287079,44.747603708481755,2.3310210029258314,30.71125083305249,0.7830188775318732,5.985156096720971
114.96,14.959640551116395,44.99982100927498,2.38240342544404,30.710375389621458,0.7877835263034786,6.159976098239654
114.98,14.907958001862864,44.98694397367879,2.3752009803685366,30.69944204875886,0.7739879825773087,6.256467012753656
115.0,15.30684726165509,44.47918526547549,2.2647036209087346,31.004108412954334,0.7774695289014903,6.167685910104861
115.02,14.954408727216311,44.506056461301775,2.276726237458922,31.590453631820637,0.7787313178613184,5.893623624341033
115.04,14.922443274116715,44.65236259426549,2.0899064937341736,31.908796495593233,0.7662553617241938,5.660235780566189
115.06,14.714561737296968,44.61994434655777,2.0738897396230005,32.08812597878051,0.7607410979512037,5.742737099790554
115.08,14.53650586793862,44.34917289347517,1.9503752097997757,32.90540682181774,0.7538240397071713,5.504715167261527
115.1,14.606579576832168,44.28652916355827,1.8786908371721145,33.16367506683875,0.7461382588362618,5.318387096762433
115.12,14.549374398776532,44.2044469689546,1.7632263387785077,33.56654949757708,0.7396898468562325,5.176712949057043
115.14,14.685333627448555,44.39319585438769,1.9332225185311698,32.74293407274164,0.7514618729120227,5.493852053978909
115.16,14.536784631863034,44.25880207839178,2.074010024738284,32.569842774242524,0.7667071318642245,5.79385335890014
115.18,14.375647313306574,44.45533491174697,1.9693653986305861,32.90782191601478,0.7462349766098831,5.545595483691224
115.2,14.48198363867549,44.51236632961566,1.9011467328509015,33.02146019440878,0.7421248542952051,5.340918250153963
