,Solution Label,Al2O3,Ba,CaO,Cr,Cu,Fe2O3,K2O,MgO,MnO,Na2O,Ni,P2O5,Sc,SiO2,Sr,TiO2,V,Y,Zn,Zr,Depth CCSF (m)
53,1474 12H4,13.43577639112262,510.71209146951844,26.089015459800564,118.98623663538751,30.828572126082463,5.609286276363673,1.2990032174141455,1.7893573084969487,0.06056576590334109,2.226042803139597,71.23590101893728,0.16580859066447085,13.113024577735631,45.788420569782716,1104.204245117942,0.6973180429143369,90.8703521676681,24.16211514066688,100.33191633635941,151.864520346853,114.255
54,1474 13H4,14.469216955321858,520.9945535724136,20.259767946652172,146.08464372445226,30.16602922435253,6.372916018992007,1.9477070342484861,1.9867517260137229,0.06421063441873447,2.1151768097912704,69.35478531559707,0.13697583037182653,15.492534125667778,50.818670026694846,869.5987534233616,0.7895420729354466,100.22094088872629,26.21105479105989,100.71799290731052,177.06604998918928,124.37
55,1474 14H4,13.254612521731122,549.6859322061447,26.503495808846704,150.1634611254429,32.273074861872054,4.729734666462582,1.6692047096758222,1.682784705976328,0.042404109644686994,2.026324058446308,46.14553910195777,0.16679241259479669,12.659412226213377,54.849670092529756,960.0799678205514,0.7724876893275467,85.87225984171835,27.844132866517604,99.49905620814683,323.78435899756437,135.234
56,1474 15H2,14.161900811037802,443.384019457302,25.760520258367713,148.19694678870698,39.463276609761934,5.721777001042663,1.8403109873655807,1.9467557600607361,0.0547071102393014,1.9437984681182414,62.39198516946178,0.14985826561650306,15.256499853284653,48.18443609494722,1095.9194365196577,0.7600827882297119,104.95216148844402,25.44410242724497,101.2544179290114,175.5725784800706,141.095
58,1474 16H6,14.417192702672896,493.3405412170827,22.41391168167702,139.10870351161552,35.78389837288116,5.776071836547547,1.9330907189696784,1.9378390502023861,0.05644470582151277,2.14987734516829,54.159986662808706,0.11240630678522841,15.39852014457921,50.95713974998647,900.9683362164309,0.7803102752284923,110.88035361362574,25.535794402412954,105.42378199873222,173.26597692856376,156.46
59,1474 17H2,13.091530662590415,462.0271148504059,27.250791077404664,126.8968735487561,28.345119780323465,4.567199803947473,1.41635847906538,1.5216937839836533,0.05542061521352618,1.9890159861297025,34.52248308571658,0.12423682176014329,12.166072121628703,48.81953692648729,1063.3568771634373,0.7101227796742581,80.59727819273888,24.4939220105816,130.27189231423785,233.52484550311243,159.46
60,1474 18H4,12.606686513733244,425.8925093863529,28.71669807299162,124.00204566080188,27.404983289976315,4.082903165857817,1.3094768898148943,1.2743574027362528,0.047558315731013455,1.7432567929891183,34.982762086587684,0.1346929927210676,11.367701865638528,47.49478082426964,1123.4694391672963,0.6817292635928497,71.36168290296422,24.473693619465713,100.97012882252545,216.91478761981958,174.3
61,1474 20H2,12.739200971112444,489.6524983853277,28.312961145321275,105.38866414134526,27.556280864476562,4.0386044249648325,1.4573650611675906,1.219981150551364,0.05901061934428713,1.6605133101984895,34.213656868107684,0.21932281245397212,11.370607409825674,48.4030507370623,1125.6984456581015,0.695033096758767,72.5952355185657,26.111266983386678,99.82540447934865,217.71131408234578,193.015
64,1474 20H4,13.155816382082932,422.6394789302419,29.37919070854738,146.2542122760938,28.16235685335208,4.807819870588444,1.3128752895834015,1.7257161788797721,0.04752274822781698,1.7766562830823567,49.39352352621137,0.14280340825356888,13.229850628474424,46.98411359148265,1194.6472729561779,0.6973323716628519,76.40235203492075,24.647173198259825,100.5485868251434,184.65175004775938,196.025
65,1474 20H5,12.000308978253017,450.53214313312156,31.315174181244043,96.96826404019895,53.98053081654811,3.294141219826541,1.2168841649566131,1.0005850530882625,0.06237567973914605,1.5368199945086563,45.58500110604822,0.22047346069207965,9.86593762928381,44.638699000552634,1188.996460456443,0.6246176951143574,73.82766589180325,23.969467451163375,110.65470321270152,248.75524247981753,197.565
66,1474 21H2,13.71566241534892,467.54701159876487,28.126562699000985,145.8466792231184,34.151199052893396,5.420828082935541,1.6677641803937406,1.7384189331216473,0.05742474108595118,1.9566109558874805,62.03125030231467,0.16090978427244662,14.213834412654723,46.95465149226458,1083.0219357024025,0.7295061892470873,96.63871501608567,24.24538554754215,122.86034174990003,158.49817043206025,205.957
67,1474 22H2,13.55447499293173,513.8450255159208,23.23033700732799,122.84031279801002,27.275006221152548,4.686271872055826,1.5799162765244013,1.5120774803846115,0.04940305907875781,1.951109983358065,26.982929730218462,0.13498866410448518,12.757022841756113,50.5282994713453,932.3384598893234,0.7525384641497981,83.75359450452657,24.489623199556945,100.76580920943088,195.27304603402433,216.915
68,1474 24H4,12.701469770688885,469.80409375515535,29.315643690778472,112.00977279504491,31.43409321836986,4.190773179384242,1.1954880917065902,1.325349862367962,0.086500650144531,1.6663468609728842,40.528875345527744,0.15887268352542555,11.908941794763942,41.83675751225282,1214.1782257711668,0.6398924315048212,65.88509851529244,23.06172125886225,100.4534469859325,144.70459745944575,239.15400000000002
70,1474 25H2,13.32317625545469,518.4991292702344,22.97232479360675,125.5431803455698,26.763530586491626,4.843611763215277,1.5426307082679536,1.6137292341302851,0.050760740174139674,1.8846158128819994,53.841010406978526,0.12331896021224642,13.04836047908309,46.98961526036037,950.6343408804953,0.7119816269007971,103.25713838154574,23.41214425252989,100.44131939087103,173.85748930753377,244.048
71,1474 25H4,13.31038007229171,562.3104684256426,30.14688683725912,125.20463619296669,28.9299599181644,4.767376847028227,1.4062913343978243,1.5229971688310147,0.07692029935341231,1.756819893364347,40.31659591385596,0.19882166424779865,13.563274101395079,48.02161947690968,1265.2601647267145,0.7236544633014037,77.99081925270151,25.716461568870542,101.27832280906647,179.8415215699774,247.04
